word,pos
က,နာမ်
က,ကြိယာ
က,ဝိဘတ်
က,ဝိဘတ် [ အပြော ]
က,ဝိဘတ်
က,သမ္ဗန္ဓ
က,ကြိယာ
က,ကြိယာ
က,နာမ်
က,နာမ်
ကကတစ်,နာမ်
ကကုသန်,နာမ်
ကကူရံ,နာမ်
ကကြီးထွန်,နာမ်
ကကြိုး,နာမ်
ကကြိုး,နာမ်
ကချလာ,နာမ်
ကချေသည်,နာမ်
ကချော်ကချွတ်,ကြိယာဝိသေသန
ကချင်,နာမ်
ကစား,ကြိယာ
ကစားခုန်စား,နာမ်
ကစားဝိုင်း,နာမ်
ကစီ,နာမ်
ကစော့,နာမ်
ကစော့,နာမ်
ကစော်,နာမ်
ကစိုကရွား,ကြိယာဝိသေသန [ ရှေး ]
ကစဉ့်ကရဲ,ကြိယာဝိသေသန
ကစဉ့်ကလျား,ကြိယာဝိသေသန
ကစိန်းကဝါး,ကြိယာဝိသေသန
ကဆုန်,နာမ်
ကဆုန်ပေါက်,ကြိယာဝိသေသန
ကဇာတ်,နာမ်
ကညာ,နာမ်
ကညို့,နာမ်
ကညင်,နာမ်
ကညစ်,နာမ်
ကညွတ်,နာမ်
ကဏန်း,နာမ်
ကဏန်းမြင်း,နာမ်
ကတညုတ,နာမ်
ကတိ,နာမ်
ကတိကဝတ်,နာမ်
ကတီ,နာမ်
ကတီ,နာမ်
ကတူး,နာမ်
ကတောကမျော,ကြိယာဝိသေသန
ကတော့,နာမ်
ကတော်,နာမ်
ကတို့,နာမ်
ကတို့,စည်း [ အပြော ]
ကတိုး,နာမ်
ကတိုးခွာ,နာမ်
ကတောက်,နာမ်
ကတောက်ကဆတ်,ကြိယာဝိသေသန
ကတောက်ကတက်,ကြိယာဝိသေသန
ကတောက်စပ်,နာမ်
ကတိုက်ကရိုက်,ကြိယာဝိသေသန
ကတောင်,နာမ်
ကတောင်ချောက်ချား,ကြိယာဝိသေသန
ကတစ်ဆည်,နာမ်
ကတည်းက,သမ္ဗန္ဓ
ကတတ်ငန်း,နာမ်
ကတုတ်,နာမ်
ကတုန်ကယင်,ကြိယာဝိသေသန
ကတုန်းကတိုက်,ကြိယာဝိသေသန
ကတမ်းကရမ်း,ကြိယာဝိသေသန
ကတိမ်းကပါး,ကြိယာဝိသေသန
ကတိမ်းကယိမ်း,ကြိယာဝိသေသန
ကတုံကနက်,နာမ်
ကတုံး,နာမ်
ကတွတ်,နာမ်
ကတွတ်,နာမ်
ကတွတ်မုန့်,နာမ်
ကထိက,နာမ်
ကထိန်,နာမ်
ကထိန်ခင်း,ကြိယာ
ကထိန်သင်္ကန်း,နာမ်
ကထိန်အာနိသင်,နာမ်
ကဒူဥ,နာမ်
ကဒတ်,နာမ်
ကနကုတ်,နာမ်
ကနခို,နာမ်
ကနစို,နာမ်
ကနစိုနာ,နာမ်
ကနစိုး,နာမ်
ကနဖော့,နာမ်
ကနဦး,နာမ်
ကနား,နာမ်
ကနားစီး,နာမ်
ကနားဖျင်း,နာမ်
ကနုကမာ,နာမ်
ကနုတံ,နာမ်
ကနေ့,နာမ် [ အပြော ]
ကနဲ,ပစ္စည်း
ကနက္ကဒဏ်,နာမ်
ကနုတ်,နာမ်
ကနုတ်ပန်း,နာမ်
ကနန်း,နာမ်
ကနွဲ့ကလျ,ကြိယာဝိသေသန
ကပိလဝတ်,နာမ်
ကပီ,နာမ်
ကပိုကရို,ကြိယာဝိသေသန
ကပေါက်ချိကပေါက်ချာ,ကြိယာဝိသေသန
ကပေါက်တိကပေါက်ချာ,ကြိယာဝိသေသန
ကပိုင်,နာမ်
ကပိုင်,နာမ်
ကပျာကယာ,ကြိယာဝိသေသန
ကပျာကသီ,ကြိယာဝိသေသန
ကပျစ်ကညစ်,ကြိယာဝိသေသန
ကပြား,နာမ်
ကပြက်ကချော်,ကြိယာဝိသေသန
ကပြင်,နာမ်
ကဖျက်ယဖျက်,ကြိယာဝိသေသန
ကဗျာ,နာမ်
ကဗျာလွတ်,နာမ်
ကဗွီး,နာမ်
ကဘီလူး,နာမ်
ကဘုန်းသား,နာမ် [ ဒေသ ]
ကမကထ,ကြိယာဝိသေသန
ကမကထ,နာမ်
ကမချ,နာမ်
ကမာ,နာမ်
ကမာကျီ,နာမ်
ကမူ,နာမ်
ကမူးရှူးထိုး,ကြိယာဝိသေသန
ကမောက်ကမ,ကြိယာဝိသေသန
ကမန်း,ပစ္စည်း
ကမန်းကတန်း,ကြိယာဝိသေသန
ကမျောသောပါး,ကြိယာဝိသေသန
ကမျဉ်း,နာမ်
ကမျဉ်းနီ,နာမ်
ကမြော့,ကြိယာ
ကမြင်း,ကြိယာ
ကယီ,ကြိယာ
ကယုကယင်,ကြိယာဝိသေသန
ကယော,နာမ်
ကယော,နာမ်
ကယောက်ကယက်,ကြိယာဝိသေသန
ကယောင်ကတမ်း,ကြိယာဝိသေသန
ကယောင်ကယင်,ကြိယာဝိသေသန
ကယောင်ချောက်ချား,ကြိယာဝိသေသန
ကရကဋ်,နာမ်
ကရကတ်,နာမ်
ကရကွက်,နာမ်
ကရနို့,နာမ်
ကရမက်,နာမ်
ကရဝေး,နာမ်
ကရဝိက်,နာမ်
ကရဝိက်ဖောင်,နာမ်
ကရာ,ပစ္စည်း
ကရာတေး,နာမ်
ကရား,နာမ်
ကရားရေပိတ်စကား,နာမ်
ကရိကထ,နာမ်
ကရုဏာ,နာမ်
ကရုဏာရသ,နာမ်
ကရေကရာ,နာမ်
ကရောသောပါး,ကြိယာဝိသေသန
ကရော့,ပစ္စည်း [ အပြော ]
ကရော်ကမည်,ကြိယာဝိသေသန
ကရို့,ပစ္စည်း [ အပြော ]
ကရက်,နာမ်
ကရင်,နာမ်
ကရင်ဝါး,နာမ်
ကရင်ဩသံ,နာမ်
ကရောင်း,နာမ်
ကရိုဏ်,နာမ်
ကရိုဏ်း,နာမ် [ သဒ္ဒါ ]
